,Unnamed: 0,tweet_id,name,username,tweet,created_at,label
0,0,1568741142619127808,Ima⁷,AgfImAl,"@hazelnutrain @infotwitwor_ anying, cari jawaban dr brainly donh, nangis bgt😭😭",2022-09-10 23:20:08+00:00,0.0
1,1,1568739439643447298,Hadiah Kecap,NingsihOks,RT @Rifxsyndrome: @ModalYakinnn @infotwitwor_ Yang paling ngakak bagian dia ketawan copas wkwkw dari brainly lagi wkwkw anjir,2022-09-10 23:13:22+00:00,0.0
3,3,1568709961819246592,Alin,Aulia_Linn,udah ketauan nyontek brainly masih aja ngelak. ckckck YAAMPON URAT MALU LU UDAH PUTUS APE GIMANA SI😭😭 https://t.co/dny8rMKuMC,2022-09-10 21:16:14+00:00,0.0
5,5,1568695258879512576,kio,toomoey,DARI BRAINLY NGENTOT LUPIKIR LAGI KUIS N ULANGAN BANGSTAYY KOCAGG https://t.co/j78Xaa9TFm https://t.co/uWH8hNHai5,2022-09-10 20:17:49+00:00,0.0
12,12,1568654856654815232,bunny,bbakmigm,bangsat pake brainly NGAKAKKKKK https://t.co/ssx51xKJJv,2022-09-10 17:37:16+00:00,0.0
16,16,1568651166803959808,M. Zimam Ihsanul Faqih,Zimam_Faqih,bgst copas brainly wkwkkwkw https://t.co/eItTwvF9JK,2022-09-10 17:22:36+00:00,0.0
18,18,1568648936730275840,shey²²,amoursn_,"@infotwitwor_ mbak, katanya calon guru, debat pake acara copas brainly😭",2022-09-10 17:13:45+00:00,0.0
20,20,1568642540257280001,𝑺𝒂𝒍𝒎.🧚🏻‍♀️,ceweperi,Wkwkwk guru copas brainly🤣 https://t.co/H58WkqTapk,2022-09-10 16:48:20+00:00,0.0
23,23,1568630683891007488,al’,nisallikaa,ngopas nya dari brainly lg anj😭😭 https://t.co/mswqSkZ2Qr,2022-09-10 16:01:13+00:00,0.0
27,27,1568614764426973191,jiminmodee,parkyooraa_,"Itu mbak eriska tengil bgt sih mana ketaunan browsing di brainly lagi wkwk, dia tuh sebenerny udah malu, cuma berusaha buat nutupin ajaa kwowkwok",2022-09-10 14:57:57+00:00,0.0
31,31,1568607344514461696,pety,ihhnaon,copas di brainly anjirr.. KETAWA BANGET 😭🤣🤣 https://t.co/PWVCnaul9b,2022-09-10 14:28:28+00:00,0.0
32,32,1568606077348114432,🍄,bubbIenmushroom,MALU BANGET ANJYNGGG WKKWKWKWK calon guru tpi copas brainly https://t.co/033uGFUhpC,2022-09-10 14:23:26+00:00,0.0
33,33,1568601794162606082,an,whxterose__,Ini tolol bgt si anjir copast dr brainly cok😭😭😭 https://t.co/OxCelRtZUK,2022-09-10 14:06:25+00:00,0.0
36,36,1568595767316852736,tera~,xmonsterax,"@infotwitwor_ Kocak njir, bisa²nya copas dr brainly
Si paling calon gr
Astaghfirullahalazim",2022-09-10 13:42:28+00:00,0.0
40,40,1568585773326438406,Sonz,nurihsan_em,"Lah si tai ngopas brainly, beyond ajg wkwkwk https://t.co/tPJeI2XxdH",2022-09-10 13:02:45+00:00,0.0
41,41,1568581683682885636,ιɕɑ,urfavogurll__,MALU BGT ANJIR COPAS BRAINLY 😭 https://t.co/LpCc4Ot0Q4,2022-09-10 12:46:30+00:00,0.0
42,42,1568580743613521920,orangstrws,anaknyajihyo,"Alahh anjingg😭😭😭mau debat buka brainly segala, simulasi ulangan lu??? https://t.co/grdMzwzgXw",2022-09-10 12:42:46+00:00,0.0
45,45,1568566518279213057,carlos,lanaticsswiftie,BRAINLY AJG NGAKAK https://t.co/0CArrf8JJA,2022-09-10 11:46:15+00:00,0.0
48,48,1568563703729225731,Muggleborn,alths27,"@Askrlfess sumpah dongo banget calon guru satu ini, mana udh ketauan ambil jawaban dri brainly tetep aje ngeyel. gak rela gw modelan kek begini jadi guru nanti",2022-09-10 11:35:04+00:00,0.0
49,49,1568563186487672832,serin,serinagustd,weeeh si paling calon guru bisa copas di brainly😭😭😭 https://t.co/zOrRKF9aDF,2022-09-10 11:33:00+00:00,0.0
52,52,1568562322767216642,ฅ۶•ﻌ•✿,zuiaicha,"@infotwitwor_ @syopbee tayo iki lawak pol, onok wong debat golek jawaban ndek brainly😭😭😭",2022-09-10 11:29:34+00:00,0.0
53,53,1568561668254502912,indomiee,xxxanakayam,"@TimpalBali kek gini masi di tanya ci, sana tanya brainly anj",2022-09-10 11:26:58+00:00,0.0
58,58,1568557458658054146,celalucayankkamu,naufalrajendra,@infotwitwor_ anjing dari brainly,2022-09-10 11:10:15+00:00,0.0
60,60,1568554090803924992,Rotiselainanas,Rotiselainanas1,RT @vzmevyez: @hazelnutrain ini bagian ter ngakak skligus nunjukin kebodohan dia si WKWKWWK bisa2nyaaa copas dri brainly anjir. mnaa ps dh…,2022-09-10 10:56:52+00:00,0.0
61,61,1568553891440259078,єℓѕє • DaSH,gyuljaestsx,"mahasiswa mana yang masih menjawab pertanyaan dan kasih argumen hasil copaste brainly hahhh🤣 even di pembelaan pertama dia yg mengenai kompres-mengompres pun jg diambil kasar dr gugel, plus keknya gak dia baca sepenuhnya tuh.. kocak bocah e https://t.co/mjU0LvWPSi",2022-09-10 10:56:04+00:00,0.0
63,63,1568552413749211136,「key」chapter7:teen𖧷,woopswoodz,COPAS BRAINLY YA ALLAH WKWKWK ANAK KULIAHAN MASI COPAS BRAINLY KATA GW BALIK SD AJA MBA😭😭😭 https://t.co/iEiwLkmAw3,2022-09-10 10:50:12+00:00,0.0
69,69,1568547054154317824,ice cream,sendhiagustina,Brainly anjjj wkwk https://t.co/vMMIk2y5q7,2022-09-10 10:28:54+00:00,0.0
70,70,1568546207584374785,azizahnabila,yupikenyallll,@infotwitwor_ JAHAHA malu bgtt ketahuan copas dri brainly😭,2022-09-10 10:25:32+00:00,0.0
71,71,1568546206204440577,berry,tothepinkllow,anjir nyontek ke brainly https://t.co/B3KDGfO1oi,2022-09-10 10:25:32+00:00,0.0
72,72,1568546176768835590,dandel,nayeoene,anjir calon guru nyontek brainly 😭☝ https://t.co/hk1cNZQAK7,2022-09-10 10:25:25+00:00,0.0
73,73,1568544459830476801,nana | mention after dm,midveluv,@nixyposie_ yg anehnya tu dia mahasiswa tp bisa2nya nyari info lewat artikel gugel + brainly 😭 pdhl kalau mahasiswa nyari info valid tu biasanya lewat jurnal2 gt,2022-09-10 10:18:36+00:00,0.0
74,74,1568542964703707138,poteto scream,scaredyc4t,Ttt-tapi klo gurunya kyk lo takut Indonesia mengalami kemunduran sih jujur 😭👍. Masa cari data pake jawaban brainly 😭😭😭 https://t.co/vrLFFaa8Li,2022-09-10 10:12:39+00:00,0.0
75,75,1568536624920920065,windy,ythbapaksungjin,@143637KYH Yg parahnya jelas2 ketauan copas dri brainly ehh masih aja nyangkal. Kek gitu mau jadi guru??😮‍💨,2022-09-10 09:47:28+00:00,0.0
76,76,1568535560469516288,monaaa🦕,hiimonaa,"@via_viii @infotwitwor_ menangis baca komenan dia, sia2 bgt gua kuliah ya berarti 5thn kalah sm org yg suka buka brainly wkwk
masih mahasiswa guru, ga kebayang sih bsk kalau dia udh lulus ngasih materi ke muridnya jalur brainly🤪🤣",2022-09-10 09:43:14+00:00,0.0
82,82,1568526077664047109,LUNA,delijght,EH ELU DARIPADA MODAL FAFIFU WAS WES WOS COPAS BRAINLY SINI DAH KERJAIN ASKEP GUE https://t.co/7sWJGzlAjP,2022-09-10 09:05:33+00:00,0.0
85,85,1568521399668715525,kynn,whykinan,@infotwitwor_ kocak bgt debat sama yg udah jadi profesinya dan ada evidence based vs opini mbak calon guru bermodalkan kebiasaan keluarga dan copas brainly wkwk,2022-09-10 08:46:58+00:00,0.0
86,86,1568520561676156928,kyn,kynniewinnie,pake brainly ajg wkwkwkkwk https://t.co/rjWQBWE66m,2022-09-10 08:43:38+00:00,0.0
88,88,1568511820570464261,Jojo,sanfgah,‘CALON GURU’ KOK PERCAYA SAMA BRAINLY. udah kayak anak sekolah aja https://t.co/pKAX9UDGvM,2022-09-10 08:08:54+00:00,0.0
89,89,1568509504568061952,derbyanoe,hoommaaan,perbedaan kuliah dan sma hanya terletak pada soal yang tidak tersedia di brainly,2022-09-10 07:59:42+00:00,0.0
90,90,1568509159896907782,shasha sibuk ²⁴,littlerainfairy,calon guru mana yang copas dari brainly hahshahahshahhshsh lawak bgt dah https://t.co/zf7ozvSaZG,2022-09-10 07:58:19+00:00,0.0
91,91,1568508620232617985,nana | mention after dm,midveluv,"@infotwitwor_ sumpah gw jadi bingung, kok bisa mahasiswa nyari informasi via artikel google doang bukan jural ilmiah dll? parahnya lagi dia ada yg copas brainly cuy. bukannya kalau bikin tugas makalah gitu sumbernya pake jurnal ilmiah ya? harusnya tau dong nyari sumber info yg valid di mana 😭",2022-09-10 07:56:11+00:00,0.0
93,93,1568507564467585026,iChiroMushy,iChiroMushy,@madmoiselledrie @journal_nct @wuthapppen Padahal udah pake data science malah dibales pake skrisutan brainly 😂,2022-09-10 07:51:59+00:00,0.0
96,96,1568502261231546368,baahri poetra,unrealstranger,@tanyakanrl Salah satu bagian terbaik itu pas dia nimpalin tweet si Ners pake copy paste jawaban di Brainly 😭,2022-09-10 07:30:55+00:00,0.0
97,97,1568500282321158148,Diamond Ml📌/ SL September + 20💎 = 100k,meythilda,@hnybnnys Ada lagi yg ketikannya nyolong di brainly. Malu bgtt 😭,2022-09-10 07:23:03+00:00,0.0
101,101,1568494214786482176,🍰,nrhwkhyrn,@flowfies Masih sempet serrch brainly bengek banget yatuhan hahaha😭,2022-09-10 06:58:56+00:00,0.0
