,tweet_id,name,username,tweet,created_at,label
37,1568592149444444160,abud universe,itsabudd,"kangen ngerjain tugas tinggal buka brainly tidak sih
sekarang mengerjakan tugas harus liat jurnal, nyari buku, dengerin rekaman dosen
😔🤚",2022-09-10 13:28:06+00:00,1
112,1568484494117830656,nes,foucado,Terima kasih kepada brainly🙏🏻 https://t.co/jOTHxefHOd,2022-09-10 06:20:19+00:00,1
347,1568224522465333251,재혁ⱽˡˢ ձ,JAEHYUKY8N,"Masih menunggu jawaban yang tepat, padahal ada di brainly hm /mlamun/",2022-09-09 13:07:17+00:00,1
359,1568188279354425348,gossenlawone,realcallu,"KANGEN dulu mengerjakan tugas bisa pake brainly, ruangguru, quizziz. Sekarang harus baca buku (bahasa inggris lagi) :(",2022-09-09 10:43:15+00:00,1
377,1567815246102020096,泉谷 ୧⍤⃝🍢,mintyalatte,"@faakhryy1 seperti aku dong man, liat brainly 😎😎",2022-09-08 10:00:57+00:00,1
387,1567703589111631875,Gardara of GR4DUATION.,minvgyui,"@woofjin Hai woojin, kalau tugasnya susah bisa cari di brainly. 👍",2022-09-08 02:37:16+00:00,1
395,1567549035535568898,soldin,strawbarrbie,"jadi aku lagi bergelut dengan matematika sambil mengerjakan tugas, lalu aku mencari di brainly, tERNYATA ADA WKWKWKKWKWKKWKW https://t.co/4TBEmsS6Ni",2022-09-07 16:23:08+00:00,1
397,1567508512993058822,va,ayamgepwrek,"@schfess brainly sahabatku, ui tujuanku",2022-09-07 13:42:07+00:00,1
399,1567485569902739458,HWI.,Eunhpwi,@bomiunn kamu mending nanya sama brainly aja dah hyung.,2022-09-07 12:10:56+00:00,1
404,1567433375174246403,π,feelikepsycho_,hidupmu ribet? brainly solusinya,2022-09-07 08:43:32+00:00,1
422,1567144660145156096,alya ✘,cattleyagyu_,"Kalaupun ada kan kadang tidak ada penjelasannya Gyu, nanti kalau disuruh maju gimana? Mending brainly saja 👍🏻 https://t.co/dPWdpXbHwh",2022-09-06 13:36:17+00:00,1
