,tweet_id,name,username,tweet,created_at,label
37,1568592149444444160,abud universe,itsabudd,"kangen ngerjain tugas tinggal buka brainly tidak sih
sekarang mengerjakan tugas harus liat jurnal, nyari buku, dengerin rekaman dosen
😔🤚",2022-09-10 13:28:06+00:00,1
112,1568484494117830656,nes,foucado,Terima kasih kepada brainly🙏🏻 https://t.co/jOTHxefHOd,2022-09-10 06:20:19+00:00,1
347,1568224522465333251,재혁ⱽˡˢ ձ,JAEHYUKY8N,"Masih menunggu jawaban yang tepat, padahal ada di brainly hm /mlamun/",2022-09-09 13:07:17+00:00,1
359,1568188279354425348,gossenlawone,realcallu,"KANGEN dulu mengerjakan tugas bisa pake brainly, ruangguru, quizziz. Sekarang harus baca buku (bahasa inggris lagi) :(",2022-09-09 10:43:15+00:00,1
32,1568606077348114432,🍄,bubbIenmushroom,MALU BANGET ANJING WKKWKWKWK calon guru tapi menyalin brainly https://t.co/033uGFUhpC,2022-09-10 14:23:26+00:00,0
486,1565975673365073920,𔘓,hwawgyeji,@MoaAxel @hi berarti brainly sembarangan 😔💔,2022-09-03 08:11:09+00:00,0
510,1565583792927977472,️️️️️️️niná,morkpiz,@convomfs brainly sudah bukan temain baikku,2022-09-02 06:13:58+00:00,0
93,1568507564467585026,iChiroMushy,iChiroMushy,@madmoiselledrie @journal_nct @wuthapppen Padahal sudah pake data science malah dibales pakai tangkapan layar brainly 😂,2022-09-10 07:51:59+00:00,0
236,1568405978785398786,natasha,yeuriems,"@infotwitwor_ brainly: ""maaf kalau salah🙏""",2022-09-10 01:08:19+00:00,2
360,1568186908827881473,pegawaikerajaan,Randitamaaa,Sma? Aneh benar masa sma tidak boleh bawa hp. Kan bisa buat brainly https://t.co/bYMvu0KBGw,2022-09-09 10:37:49+00:00,2
396,1567523760512847872,fiyo,hoancock,kenapa tidak boleh pakai brainly saja,2022-09-07 14:42:42+00:00,2
555,1564409014922125312,Ridlwan setya putra,ridlwansetyaput,ternyata semua yang aku buat di brainly itu terekam.,2022-08-30 00:25:49+00:00,2
560,1564266198510239746,fckuhaha,idchonestlyhaha,berasa brainly HAHA 😭 https://t.co/dBWCSQ5s9B,2022-08-29 14:58:19+00:00,1
579,1563860953770631168,klar,pooglewoogle,jawaban plnri ini ada di brainly tidak sih,2022-08-28 12:08:01+00:00,2
